rowid,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
3615,191786,Narcosis (New Earth),\/wiki\/Narcosis_(New_Earth),,Bad Characters,,,Male Characters,,Deceased Characters,5,"1996, May",1996
3616,292980,Shaar Q (New Earth),\/wiki\/Shaar_Q_(New_Earth),Public Identity,Good Characters,,,Female Characters,,Living Characters,5,"1996, September",1996
3617,222276,Slizzath (New Earth),\/wiki\/Slizzath_(New_Earth),Public Identity,Bad Characters,Red Eyes,Grey Hair,Male Characters,,Deceased Characters,5,"1996, November",1996
3618,253711,Spought (New Earth),\/wiki\/Spought_(New_Earth),,,,Grey Hair,Male Characters,,Living Characters,5,"1996, July",1996
3619,144427,Taa (New Earth),\/wiki\/Taa_(New_Earth),,Good Characters,,,Male Characters,,Living Characters,5,1996,1996
3620,359265,Wally Mosely (New Earth),\/wiki\/Wally_Mosely_(New_Earth),Public Identity,Good Characters,,Red Hair,Male Characters,,Living Characters,5,"1996, September",1996
3621,183506,Body Count (New Earth),\/wiki\/Body_Count_(New_Earth),Secret Identity,Bad Characters,,,,,Deceased Characters,5,"1995, August",1995
3622,286867,Gaelon (New Earth),\/wiki\/Gaelon_(New_Earth),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,5,"1995, April",1995
3623,177624,Moira Queen (New Earth),\/wiki\/Moira_Queen_(New_Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Deceased Characters,5,1995,1995
3624,192614,Razerkut (New Earth),\/wiki\/Razerkut_(New_Earth),Secret Identity,Bad Characters,Auburn Hair,,Female Characters,,Living Characters,5,"1995, August",1995
3625,177623,Robert Henry Queen (New Earth),\/wiki\/Robert_Henry_Queen_(New_Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,,Deceased Characters,5,1995,1995
3626,260402,Wolf Krieger (New Earth),\/wiki\/Wolf_Krieger_(New_Earth),Public Identity,Bad Characters,Black Eyes,Grey Hair,Male Characters,,Living Characters,5,"1995, July",1995
3627,263308,Aaron Jase (New Earth),\/wiki\/Aaron_Jase_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Deceased Characters,5,"1994, November",1994
3628,130938,Carla Draper (New Earth),\/wiki\/Carla_Draper_(New_Earth),Public Identity,Bad Characters,Auburn Hair,,Female Characters,,Living Characters,5,"1994, November",1994
3629,128359,Clete Jenkins (New Earth),\/wiki\/Clete_Jenkins_(New_Earth),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,"1994, April",1994
3630,124730,Cron One-Eye (New Earth),\/wiki\/Cron_One-Eye_(New_Earth),,Neutral Characters,,,Male Characters,,Living Characters,5,"1994, January",1994
3631,52614,David Manguy (New Earth),\/wiki\/David_Manguy_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,5,"1994, February",1994
3632,52598,Doctor Hutcheson (New Earth),\/wiki\/Doctor_Hutcheson_(New_Earth),,,,Brown Hair,Male Characters,,Deceased Characters,5,"1994, February",1994
3633,120001,Hawkgod (New Earth),\/wiki\/Hawkgod_(New_Earth),,Neutral Characters,,,Male Characters,,Living Characters,5,"1994, May",1994
3634,269375,Jeremy Baxter (New Earth),\/wiki\/Jeremy_Baxter_(New_Earth),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,5,"1994, December",1994
3635,142614,Jerry Conover (New Earth),\/wiki\/Jerry_Conover_(New_Earth),,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"1994, July",1994
3636,56560,Jessica Jordan (New Earth),\/wiki\/Jessica_Jordan_(New_Earth),,,,Brown Hair,Female Characters,,Deceased Characters,5,"1994, January",1994
3637,127994,Kimon Tanaka (New Earth),\/wiki\/Kimon_Tanaka_(New_Earth),,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,5,"1994, December",1994
3638,204348,Kingdom (New Earth),\/wiki\/Kingdom_(New_Earth),,Bad Characters,,,Male Characters,,Deceased Characters,5,"1994, October",1994
3639,384674,Klali (New Earth),\/wiki\/Klali_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,5,"1994, June",1994
3640,307893,MacAlistaire (New Earth),\/wiki\/MacAlistaire_(New_Earth),Public Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,5,"1994, January",1994
3641,208853,Nuliajuk (New Earth),\/wiki\/Nuliajuk_(New_Earth),Secret Identity,Bad Characters,White Eyes,Black Hair,Female Characters,,Living Characters,5,"1994, February",1994
3642,307237,Penn Selkirk (New Earth),\/wiki\/Penn_Selkirk_(New_Earth),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"1994, July",1994
3643,198918,Romana Vrezhenski (New Earth),\/wiki\/Romana_Vrezhenski_(New_Earth),,Bad Characters,,,Female Characters,,Living Characters,5,"1994, December",1994
3644,263318,Russell Tenclouds (New Earth),\/wiki\/Russell_Tenclouds_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,5,"1994, November",1994
3645,193123,Scarabus (New Earth),\/wiki\/Scarabus_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"1994, September",1994
3646,18836,Sujatmi Sunowaparti (New Earth),\/wiki\/Sujatmi_Sunowaparti_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,5,"1994, December",1994
3647,344319,Venelia (New Earth),\/wiki\/Venelia_(New_Earth),,Good Characters,,Black Hair,Female Characters,,Living Characters,5,"1994, November",1994
3648,128156,Victor Zehrhard (New Earth),\/wiki\/Victor_Zehrhard_(New_Earth),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,5,"1994, March",1994
3649,16829,Word (New Earth),\/wiki\/Word_(New_Earth),,,,,,,Living Characters,5,"1994, October",1994
3650,13645,Alexander Trent (New Earth),\/wiki\/Alexander_Trent_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,5,"1993, December",1993
3651,127137,Brute III (New Earth),\/wiki\/Brute_III_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"1993, August",1993
3652,127141,Cloudburst (New Earth),\/wiki\/Cloudburst_(New_Earth),Identity Unknown,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"1993, August",1993
3653,125236,Deena Walker (New Earth),\/wiki\/Deena_Walker_(New_Earth),,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,5,"1993, June",1993
3654,262507,Grand Druid (New Earth),\/wiki\/Grand_Druid_(New_Earth),Public Identity,Bad Characters,,Orange Hair,Male Characters,,Living Characters,5,"1993, October",1993
3655,189329,Mayfly (New Earth),\/wiki\/Mayfly_(New_Earth),Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Deceased Characters,5,"1993, September",1993
3656,344282,Quinn Thomas (New Earth),\/wiki\/Quinn_Thomas_(New_Earth),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,5,"1993, March",1993
3657,82484,Slingshot (New Earth),\/wiki\/Slingshot_(New_Earth),Secret Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,5,1993,1993
3658,193955,Stinger II (New Earth),\/wiki\/Stinger_II_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"1993, July",1993
3659,195313,Xiuhtecutli (New Earth),\/wiki\/Xiuhtecutli_(New_Earth),,Bad Characters,,,Female Characters,,Living Characters,5,"1993, October",1993
3660,216061,Bonnie Robinson (New Earth),\/wiki\/Bonnie_Robinson_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,5,"1992, June",1992
3661,253432,Firtf (New Earth),\/wiki\/Firtf_(New_Earth),Public Identity,Bad Characters,Grey Eyes,,Male Characters,,Living Characters,5,"1992, February",1992
3662,160727,Jakob Whorrsman (New Earth),\/wiki\/Jakob_Whorrsman_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,5,1992,1992
3663,253996,Jennifer Fletcher (New Earth),\/wiki\/Jennifer_Fletcher_(New_Earth),Secret Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,5,"1992, August",1992
3664,357595,Julia of Daxam (New Earth),\/wiki\/Julia_of_Daxam_(New_Earth),,Good Characters,,Red Hair,Female Characters,,Living Characters,5,"1992, November",1992
3665,142547,Kaliber (New Earth),\/wiki\/Kaliber_(New_Earth),Secret Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,5,"1992, April",1992
3666,117942,Lin Canar (New Earth),\/wiki\/Lin_Canar_(New_Earth),,Good Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,5,"1992, December",1992
3667,190413,Metamorpheus (New Earth),\/wiki\/Metamorpheus_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,"1992, April",1992
3668,366988,Mustang Suzy (New Earth),\/wiki\/Mustang_Suzy_(New_Earth),,Neutral Characters,,Red Hair,Female Characters,,Living Characters,5,"1992, November",1992
3669,192108,Pathfinder (New Earth),\/wiki\/Pathfinder_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,"1992, April",1992
3670,192644,Repo (New Earth),\/wiki\/Repo_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"1992, July",1992
3671,253443,Ritar (New Earth),\/wiki\/Ritar_(New_Earth),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,"1992, February",1992
3672,39053,Solomon Wayne (New Earth),\/wiki\/Solomon_Wayne_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Deceased Characters,5,"1992, February",1992
3673,171897,Antagon (New Earth),\/wiki\/Antagon_(New_Earth),,Bad Characters,,,,,Living Characters,5,"1991, March",1991
3674,141452,Catseye (New Earth),\/wiki\/Catseye_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,5,"1991, May",1991
3675,237802,Chessure (New Earth),\/wiki\/Chessure_(New_Earth),,Bad Characters,,,,,Living Characters,5,"1991, February",1991
3676,344310,Cydippe (New Earth),\/wiki\/Cydippe_(New_Earth),,Good Characters,,Strawberry Blond Hair,Female Characters,,Living Characters,5,"1991, January",1991
3677,147298,Ernest Earnest (New Earth),\/wiki\/Ernest_Earnest_(New_Earth),Secret Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,5,"1991, March",1991
3678,7580,Kurt Heimlich (New Earth),\/wiki\/Kurt_Heimlich_(New_Earth),Public Identity,Bad Characters,,,Male Characters,,Living Characters,5,"1991, August",1991
3679,152297,Les Perdu (New Earth),\/wiki\/Les_Perdu_(New_Earth),,,,,,,Living Characters,5,"1991, July",1991
3680,141453,Schrek (New Earth),\/wiki\/Schrek_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Male Characters,,Deceased Characters,5,"1991, July",1991
3681,155996,William Wildeagle (New Earth),\/wiki\/William_Wildeagle_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,5,"1991, July",1991
3682,294860,Dagon-Ra (New Earth),\/wiki\/Dagon-Ra_(New_Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,5,"1990, May",1990
3683,156264,Davood Nassur (New Earth),\/wiki\/Davood_Nassur_(New_Earth),,,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"1990, October",1990
3684,120565,Dybbuk (New Earth),\/wiki\/Dybbuk_(New_Earth),,Good Characters,,,Male Characters,,Living Characters,5,"1990, September",1990
3685,261074,Kirby (New Earth),\/wiki\/Kirby_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,"1990, January",1990
3686,12017,Kirtan-Rodd (New Earth),\/wiki\/Kirtan-Rodd_(New_Earth),Public Identity,Bad Characters,White Eyes,,Male Characters,,Living Characters,5,"1990, March",1990
3687,376664,Konrad Kaslak (New Earth),\/wiki\/Konrad_Kaslak_(New_Earth),Public Identity,Bad Characters,,White Hair,Male Characters,,Living Characters,5,"1990, September",1990
3688,312220,Lark (New Earth),\/wiki\/Lark_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,5,"1990, June",1990
3689,112549,Legion (New Earth),\/wiki\/Legion_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"1990, January",1990
3690,198545,Maxwell Cort (New Earth),\/wiki\/Maxwell_Cort_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,"1990, September",1990
3691,191416,Mister Whisper (New Earth),\/wiki\/Mister_Whisper_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,5,"1990, April",1990
3692,161146,Narmea (New Earth),\/wiki\/Narmea_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,5,"1990, March",1990
3693,252555,Nowhere Man (New Earth),\/wiki\/Nowhere_Man_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,5,"1990, October",1990
3694,130908,Ruth Spencer (New Earth),\/wiki\/Ruth_Spencer_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,5,"1990, January",1990
3695,151863,Sara Furness (New Earth),\/wiki\/Sara_Furness_(New_Earth),,Good Characters,,,Female Characters,,Living Characters,5,"1990, August",1990
3696,261084,Theresa Bua Trinh (New Earth),\/wiki\/Theresa_Bua_Trinh_(New_Earth),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,5,"1990, January",1990
3697,198540,Wilson Klass (New Earth),\/wiki\/Wilson_Klass_(New_Earth),,Neutral Characters,,Grey Hair,Male Characters,,Living Characters,5,"1990, September",1990
3698,127649,Alexander Wyvern (New Earth),\/wiki\/Alexander_Wyvern_(New_Earth),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,5,"1989, October",1989
3699,343550,Ariadne of Knossos (New Earth),\/wiki\/Ariadne_of_Knossos_(New_Earth),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,5,"1989, August",1989
3700,313973,Cellkeeper 385 (New Earth),\/wiki\/Cellkeeper_385_(New_Earth),Public Identity,Good Characters,Black Eyes,,Male Characters,,Living Characters,5,"1989, May",1989
3701,261590,Deb Kafka (New Earth),\/wiki\/Deb_Kafka_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,5,"1989, August",1989
3702,116591,Jean-Marc de Villars (New Earth),\/wiki\/Jean-Marc_de_Villars_(New_Earth),Secret Identity,Good Characters,Black Eyes,White Hair,Male Characters,,Living Characters,5,"1989, January",1989
3703,102608,John Henry Martin (New Earth),\/wiki\/John_Henry_Martin_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,5,"1989, August",1989
3704,282058,Jovita (New Earth),\/wiki\/Jovita_(New_Earth),Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,5,"1989, September",1989
3705,148976,Kel Gand (New Earth),\/wiki\/Kel_Gand_(New_Earth),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,"1989, January",1989
3706,297607,Kem-L (New Earth),\/wiki\/Kem-L_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,5,"1989, November",1989
3707,115880,Kuei (New Earth),\/wiki\/Kuei_(New_Earth),Secret Identity,Good Characters,Black Eyes,Green Hair,Male Characters,,Living Characters,5,"1989, January",1989
3708,150019,Red Jack (New Earth),\/wiki\/Red_Jack_(New_Earth),,Bad Characters,,,Male Characters,,Deceased Characters,5,"1989, June",1989
3709,301532,Sazu (New Earth),\/wiki\/Sazu_(New_Earth),Public Identity,Good Characters,,,Female Characters,,Living Characters,5,"1989, September",1989
3710,116588,Sonya Chuikov (New Earth),\/wiki\/Sonya_Chuikov_(New_Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,5,"1989, January",1989
3711,365439,Xanthi (New Earth),\/wiki\/Xanthi_(New_Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Male Characters,,Deceased Characters,5,"1989, January",1989
3712,196526,Andrew Draper (New Earth),\/wiki\/Andrew_Draper_(New_Earth),Public Identity,Good Characters,,Red Hair,Male Characters,,Living Characters,5,"1988, June",1988
3713,183070,Badb (New Earth),\/wiki\/Badb_(New_Earth),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Living Characters,5,"1988, September",1988
3714,154770,David Palmer (New Earth),\/wiki\/David_Palmer_(New_Earth),,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,5,"1988, December",1988
3715,83270,Elder Martin (New Earth),\/wiki\/Elder_Martin_(New_Earth),,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"1988, April",1988
3716,135143,Grace Guiness (New Earth),\/wiki\/Grace_Guiness_(New_Earth),,Good Characters,,,Female Characters,,Living Characters,5,"1988, March",1988
3717,381458,Henry Cobb Armbruster (New Earth),\/wiki\/Henry_Cobb_Armbruster_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"1988, April",1988
3718,348965,Johannes van der Houten (New Earth),\/wiki\/Johannes_van_der_Houten_(New_Earth),,Bad Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,5,"1988, September",1988
3719,381462,Maxine Sterenbuch (New Earth),\/wiki\/Maxine_Sterenbuch_(New_Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,5,"1988, April",1988
3720,381464,Michael Boyd (New Earth),\/wiki\/Michael_Boyd_(New_Earth),,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,5,"1988, March",1988
3721,4309,Nicholas Bassaglia (New Earth),\/wiki\/Nicholas_Bassaglia_(New_Earth),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"1988, May",1988
3722,344006,Phthia (New Earth),\/wiki\/Phthia_(New_Earth),,Good Characters,,Blond Hair,Female Characters,,Deceased Characters,5,1988,1988
3723,63761,Ralph Bundy (New Earth),\/wiki\/Ralph_Bundy_(New_Earth),,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,5,"1988, March",1988
3724,192626,Red Dragon (New Earth),\/wiki\/Red_Dragon_(New_Earth),,Bad Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,5,"1988, June",1988
3725,381460,Solomon Buchman (New Earth),\/wiki\/Solomon_Buchman_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"1988, April",1988
3726,93286,Talaoc (New Earth),\/wiki\/Talaoc_(New_Earth),,Neutral Characters,,,Male Characters,,Living Characters,5,"1988, May",1988
3727,199534,Weaver (New Earth),\/wiki\/Weaver_(New_Earth),,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,"1988, June",1988
3728,11522,Belphegor (New Earth),\/wiki\/Belphegor_(New_Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,5,"1987, June",1987
3729,144441,Collective (New Earth),\/wiki\/Collective_(New_Earth),,Good Characters,,,Genderless Characters,,Living Characters,5,1987,1987
3730,3954,Conrad Bortz (New Earth),\/wiki\/Conrad_Bortz_(New_Earth),,,,Red Hair,Male Characters,,Living Characters,5,"1987, November",1987
3731,184617,Djinn (New Earth),\/wiki\/Djinn_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"1987, May",1987
3732,346657,Echidna (New Earth),\/wiki\/Echidna_(New_Earth),,Bad Characters,,,Female Characters,,Deceased Characters,5,"1987, December",1987
3733,156529,Elemental Woman (New Earth),\/wiki\/Elemental_Woman_(New_Earth),Secret Identity,Bad Characters,,White Hair,Female Characters,,Living Characters,5,"1987, July",1987
3734,119873,Graham Gault (New Earth),\/wiki\/Graham_Gault_(New_Earth),,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,5,"1987, September",1987
3735,258563,Henry Yarrow (New Earth),\/wiki\/Henry_Yarrow_(New_Earth),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,5,"1987, November",1987
3736,346634,Matthew Michaelis (New Earth),\/wiki\/Matthew_Michaelis_(New_Earth),Public Identity,,,Brown Hair,Male Characters,,Deceased Characters,5,"1987, March",1987
3737,234704,Randall Truman (New Earth),\/wiki\/Randall_Truman_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,5,"1987, August",1987
3738,5424,Rot Lop Fan (New Earth),\/wiki\/Rot_Lop_Fan_(New_Earth),Secret Identity,Good Characters,,,Male Characters,,Living Characters,5,1987,1987
3739,212275,Silver Scarab II (New Earth),\/wiki\/Silver_Scarab_II_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,"1987, September",1987
3740,80252,Stanley Merkel (New Earth),\/wiki\/Stanley_Merkel_(New_Earth),,Good Characters,,Black Hair,Male Characters,,Deceased Characters,5,"1987, March",1987
3741,352117,Thelma Gordon (New Earth),\/wiki\/Thelma_Gordon_(New_Earth),Public Identity,Neutral Characters,,,Female Characters,,Deceased Characters,5,"1987, November",1987
3742,58935,Titano (New Earth),\/wiki\/Titano_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,5,"1987, August",1987
3743,215047,Willis Todd (New Earth),\/wiki\/Willis_Todd_(New_Earth),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,"1987, July",1987
3744,129703,Brittany Brandon (New Earth),\/wiki\/Brittany_Brandon_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Platinum Blond Hair,Female Characters,,Living Characters,5,"1986, June",1986
3745,1964,Burt Weston (New Earth),\/wiki\/Burt_Weston_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,"1986, May",1986
3746,144495,Cimfet Tau (New Earth),\/wiki\/Cimfet_Tau_(New_Earth),,Good Characters,Black Eyes,,Male Characters,,Living Characters,5,1986,1986
3747,207681,Cossack the Dark Rider (New Earth),\/wiki\/Cossack_the_Dark_Rider_(New_Earth),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,"1986, March",1986
3748,127945,Deron Ved (Earth-One),\/wiki\/Deron_Ved_(Earth-One),,Bad Characters,Blue Eyes,Reddish Brown Hair,Male Characters,,Living Characters,5,"1986, October",1986
3749,393399,Maxwell Loomis (New Earth),\/wiki\/Maxwell_Loomis_(New_Earth),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,5,"1986, April",1986
3750,149858,Mitsu-Bishi (New Earth),\/wiki\/Mitsu-Bishi_(New_Earth),,,,,Male Characters,,Living Characters,5,"1986, July",1986
3751,118156,Thomas Bolt (New Earth),\/wiki\/Thomas_Bolt_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,5,"1986, March",1986
3752,27561,Whiteout (New Earth),\/wiki\/Whiteout_(New_Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Male Characters,,Living Characters,5,"1986, June",1986
3753,41253,Chroma (New Earth),\/wiki\/Chroma_(New_Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,,Deceased Characters,5,"1985, May",1985
3754,9304,Invunche (New Earth),\/wiki\/Invunche_(New_Earth),,Bad Characters,,,,,Living Characters,5,"1985, June",1985
3755,337381,Quaar (New Earth),\/wiki\/Quaar_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,5,"1985, February",1985
3756,11520,Bekka (New Earth),\/wiki\/Bekka_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,5,"1984, March",1984
3757,14328,Chaon (New Earth),\/wiki\/Chaon_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"1984, November",1984
3758,381541,Henry Evans (New Earth),\/wiki\/Henry_Evans_(New_Earth),,Good Characters,,Brown Hair,Male Characters,,Living Characters,5,"1984, January",1984
3759,191805,Nox (New Earth),\/wiki\/Nox_(New_Earth),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,5,"1984, October",1984
3760,333120,Syrra (New Earth),\/wiki\/Syrra_(New_Earth),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,5,"1984, November",1984
3761,127052,Vengeance (New Earth),\/wiki\/Vengeance_(New_Earth),,Bad Characters,,,Male Characters,,Deceased Characters,5,"1984, December",1984
3762,115079,Jason Hart (New Earth),\/wiki\/Jason_Hart_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,5,1983,1983
3763,42725,Kaylark (New Earth),\/wiki\/Kaylark_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,5,"1983, July",1983
3764,144419,Krista X (New Earth),\/wiki\/Krista_X_(New_Earth),,Good Characters,,Red Hair,Female Characters,,Living Characters,5,"1983, July",1983
3765,337305,Lady Moonstone (New Earth),\/wiki\/Lady_Moonstone_(New_Earth),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,5,"1983, November",1983
3766,337474,Laral (New Earth),\/wiki\/Laral_(New_Earth),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,5,"1983, May",1983
3767,337166,Lord Ruby (New Earth),\/wiki\/Lord_Ruby_(New_Earth),Public Identity,Good Characters,Red Eyes,White Hair,Male Characters,,Living Characters,5,"1983, December",1983
3768,144257,Okonoko (New Earth),\/wiki\/Okonoko_(New_Earth),,Good Characters,Black Eyes,,Male Characters,,Living Characters,5,"1983, March",1983
3769,117822,Remnant Nod (New Earth),\/wiki\/Remnant_Nod_(New_Earth),,Good Characters,,White Hair,Male Characters,,Deceased Characters,5,"1983, November",1983
3770,150157,Takeo Sato (New Earth),\/wiki\/Takeo_Sato_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,5,"1983, September",1983
3771,193328,Silhouette (New Earth),\/wiki\/Silhouette_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"1982, December",1982
3772,303607,Dunya Mishkin (New Earth),\/wiki\/Dunya_Mishkin_(New_Earth),,Bad Characters,,,Female Characters,,Deceased Characters,5,"1981, June",1981
3773,175256,Malagigi (New Earth),\/wiki\/Malagigi_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,5,"1981, October",1981
3774,179988,Tylot (New Earth),\/wiki\/Tylot_(New_Earth),,Good Characters,,,Male Characters,,Deceased Characters,5,"1981, May",1981
3775,144100,Alexander Tuttle (New Earth),\/wiki\/Alexander_Tuttle_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,5,"1979, March",1979
3776,137722,Cassius Bannister (Earth-One),\/wiki\/Cassius_Bannister_(Earth-One),,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,"1979, December",1979
3777,126779,Lyle Corley (New Earth),\/wiki\/Lyle_Corley_(New_Earth),,Bad Characters,,,Male Characters,,Deceased Characters,5,"1979, February",1979
3778,130946,Roger Romaine (New Earth),\/wiki\/Roger_Romaine_(New_Earth),,Bad Characters,,,Male Characters,,Living Characters,5,"1979, October",1979
3779,6752,Antithesis (New Earth),\/wiki\/Antithesis_(New_Earth),Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,5,"1978, February",1978
3780,334419,Leona Pierce (New Earth),\/wiki\/Leona_Pierce_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,5,"1978, January",1978
