rowid,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1002,2005,Commentator,10/24/05,Media,William Kristol
1003,2005,united states senator,10/25/05,Politician,Al Franken
1004,2005,biographer,10/26/05,Media,Doris Kearns Goodwin
1005,2005,military officer,10/27/05,Military,Janis Karpinski
1006,2005,writer,10/3/05,Media,David Rakoff
1007,2005,actor,10/31/05,Acting,D.L. Hughley
1008,2005,actress,10/4/05,Acting,Cameron Diaz
1009,2005,us senator,10/5/05,Politician,Sen. John Edwards
1010,2005,actor,10/6/05,Acting,Philip Seymour Hoffman
1011,2005,us senator,11/1/05,Politician,Sen. Barbara Boxer
1012,2005,actor,11/10/05,Acting,Chris Elliott
1013,2005,Businesswoman,11/14/05,Business,Martha Stewart
1014,2005,actress,11/15/05,Acting,Rosario Dawson
1015,2005,author,11/16/05,Media,John Hodgman
1016,2005,adviser,11/17/05,Consultant,Richard Clarke
1017,2005,American football wide receiver,11/2/05,Athletics,Mike Wallace
1018,2005,actor,11/28/05,Acting,Adrien Brody
1019,2005,Author,11/29/05,Media,Peggy Noonan
1020,2005,lawyer,11/3/05,Misc,Robert Ray
1021,2005,former speaker of the the house,11/30/05,Politician,Rep. Nancy Pelosi
1022,2005,us senator,11/7/05,Politician,Sen. Barack Obama
1023,2005,us senator,11/8/05,Politician,Sen. John McCain
1024,2005,actress,11/9/05,Acting,Keira Knightley
1025,2005,Rock duo,12/1/05,Musician,The White Stripes
1026,2005,radio personality,12/13/05,Media,Howard Stern
1027,2005,Journalist,12/14/05,Media,Tom Brokaw
1028,2005,actress,12/15/05,Acting,Sarah Jessica Parker
1029,2005,former president,12/5/05,Politician,Jimmy Carter
1030,2005,actress,12/6/05,Acting,Michelle Yeoh
1031,2005,author,12/7/05,Media,David McCullough
1032,2005,writer,12/8/05,Media,Ken Auletta
1033,2005,Singer-songwriter,2/1/05,Musician,Paula Abdul
1034,2005,Writer,2/14/05,Media,Redmond O'Hanlon
1035,2005,comedian,2/15/05,Comedy,Eric Idle
1036,2005,actor,2/16/05,Acting,Alan Cumming
1037,2005,consultant,2/17/05,Political Aide,Mark P. Mills
1038,2005,journalist,2/2/05,Media,Anderson Cooper
1039,2005,Film actress,2/22/05,Acting,Rachel Weisz
1040,2005,Journalist,2/23/05,Media,Peter Jennings
1041,2005,actress,2/24/05,Acting,Christina Ricci
1042,2005,former governor of nebraska,2/28/05,Politician,Ben Nelson
1043,2005,journalist,2/3/05,Media,Joe Klein
1044,2005,foreign policy strategist,3/1/05,Academic,Nancy Soderberg
1045,2005,Economist,3/10/05,Academic,Paul Krugman
1046,2005,philosopher,3/14/05,Academic,Harry Frankfurt
1047,2005,Correspondent,3/15/05,Media,Tom Fenton
1048,2005,singer,3/16/05,Musician,Al Green
1049,2005,television host,3/17/05,Media,Craig Ferguson
1050,2005,actor,3/2/05,Acting,The Rock
1051,2005,actress,3/21/05,Acting,Sandra Bullock
1052,2005,actress,3/22/05,Acting,Catherine Keener
1053,2005,Singer,3/23/05,Musician,Ozzy Osbourne
1054,2005,Music Producer,3/24/05,Musician,RZA
1055,2005,former white house press secretary,3/3/05,Political Aide,Ari Fleischer
1056,2005,Film actress,3/7/05,Acting,Melissa Boyle Mahle
1057,2005,journalist,3/8/05,Media,Brian Williams
1058,2005,actor,3/9/05,Acting,Bruce Willis
1059,2005,columnist,4/11/05,Media,Byron York
1060,2005,american politician,4/12/05,Politician,Bob Dole
1061,2005,journalist,4/13/05,Media,John Avlon
1062,2005,actor,4/14/05,Acting,David Duchovny
1063,2005,Former United States Secretary of Labor,4/18/05,Politician,Robert Reich
1064,2005,Author,4/19/05,Media,Sarah Vowell
1065,2005,stand-up comedian,4/20/05,Comedy,Dennis Miller
1066,2005,Professor,4/21/05,Academic,Reza Aslan
1067,2005,attorney,4/25/05,Misc,Floyd Abrams
1068,2005,rapper,4/26/05,Musician,Ice Cube
1069,2005,author,4/27/05,Media,Christina Hoff Sommers
1070,2005,economist,4/28/05,Academic,Steven Levitt
1071,2005,Basketball player,4/4/05,Athletics,Reggie Miller
1072,2005,Journalist,4/5/05,Media,Thomas L. Friedman
1073,2005,actor,4/6/05,Acting,Matthew McConaughey
1074,2005,actress,4/7/05,Acting,Drew Barrymore
1075,2005,Comedian,5/10/05,Comedy,Wanda Sykes
1076,2005,television personality,5/11/05,Media,Al Roker
1077,2005,television actress,5/12/05,Acting,Tracey Ullman
1078,2005,Former United States Senator,5/2/05,Politician,Zell Miller
1079,2005,journalist,5/3/05,Media,Christiane Amanpour
1080,2005,journalist,5/31/05,Media,Gerald Posner
1081,2005,actor,5/4/05,Acting,Martin Short
1082,2005,Former Governor of Pennsylvania,5/5/05,Politician,Tom Ridge
1083,2005,film actress,5/9/05,Acting,Kathleen Turner
1084,2005,singer,6/1/05,Musician,Bo Bice
1085,2005,Scholar,6/13/05,Academic,Larry Diamond
1086,2005,actor,6/14/05,Acting,Will Ferrell
1087,2005,professor,6/15/05,Academic,Flynt Leverett
1088,2005,writer,6/16/05,Media,Kenneth Timmerman
1089,2005,actor,6/2/05,Acting,Russell Crowe
1090,2005,Musician,6/20/05,Musician,Ringo Starr
1091,2005,singer-songwriter,6/21/05,Musician,Dwight Yoakam
1092,2005,former white house press secretary,6/22/05,Political Aide,Bill Moyers
1093,2005,former governor of vermont,6/23/05,Politician,Howard Dean
1094,2005,author,6/27/05,Media,Hanna Rosin
1095,2005,Documentary Filmmaker,6/28/05,Media,Morgan Spurlock
1096,2005,Former U.S. Representative,6/6/05,Politician,Newt Gingrich
1097,2005,Author,6/7/05,Media,Steven Johnson
1098,2005,former us secretary of defense,6/8/05,Politician,Colin Powell
1099,2005,Journalist,6/9/05,Media,Matt Lauer
1100,2005,professor,7/11/05,Academic,Marci Hamilton
1101,2005,Author,7/12/05,Media,Matt Taibbi
1102,2005,writer,7/13/05,Media,Bernard Goldberg
1103,2005,Journalist,7/14/05,Media,Michael Isikoff
1104,2005,journalist,7/18/05,Media,Carl Bernstein
1105,2005,journalist,7/18/05,Media,Bob Woodward
1106,2005,actor,7/19/05,Acting,Billy Bob Thornton
1107,2005,radio host,7/20/05,Media,Robert F. Kennedy Jr.
1108,2005,journalist,7/21/05,Media,Fareed Zakaria
1109,2005,us senator,7/25/05,Politician,Sen. Rick Santorum
1110,2005,actress,7/26/05,Acting,Diane Lane
1111,2005,sportscaster,7/27/05,Media,Bob Costas
1112,2005,actress,7/28/05,Acting,Maggie Gyllenhaal
1113,2005,journalist,8/10/05,Media,John Hockenberry
1114,2005,rapper,8/11/05,Musician,Andrí© Benjamin
1115,2005,actor,8/15/05,Acting,Steve Carell
1116,2005,Journalist,8/16/05,Media,Seymour Hersh
1117,2005,novelist,8/17/05,Media,John Irving
1118,2005,author,8/18/05,Media,"John H. Richardson, Jr."
1119,2005,us senator,8/2/05,Politician,Sen. Joe Biden
1120,2005,television host,8/22/05,Media,Chris Wallace
1121,2005,Film actress,8/23/05,Acting,Rachel Weisz
1122,2005,us senator,8/24/05,Politician,Sen. Trent Lott
1123,2005,author,8/25/05,Media,Christopher Hitchens
1124,2005,author,8/3/05,Media,John Crawford
1125,2005,Broadcaster,8/4/05,Media,Miles O'Brien
1126,2005,actor,8/8/05,Acting,Paul Rudd
1127,2005,actress,8/9/05,Acting,Kate Hudson
1128,2005,journalist,9/12/05,Media,Chris Mooney
1129,2005,Writer,9/13/05,Media,Kurt Vonnegut
1130,2005,historian,9/14/05,Academic,Dr. Edward J. Larson
1131,2005,mathematician,9/14/05,Academic,Dr. William A. Dembski
1132,2005,psychic,9/14/05,Misc,Ellie Crystal
1133,2005,actress,9/15/05,Acting,Gwyneth Paltrow
1134,2005,actor,9/20/05,Acting,Alan Alda
1135,2005,Comedian,9/21/05,Comedy,Ricky Gervais
1136,2005,actor,9/22/05,Acting,George Clooney
1137,2005,author,9/26/05,Media,Dr. Irwin Redlener
1138,2005,actor,9/27/05,Acting,Viggo Mortensen
1139,2005,comedian,9/28/05,Comedy,Jeff Garlin
1140,2005,us senator,9/29/05,Politician,Sen. Chuck Schumer
1141,2005,doctor,9/6/05,Science,Dr. Marc Siegel
1142,2005,actor,9/7/05,Acting,Samuel L. Jackson
1143,2005,journalist,9/8/05,Media,Brian Williams
1144,2006,actor,1/10/06,Acting,Albert Brooks
1145,2006,Broadcaster,1/11/06,Media,Peter Bergen
1146,2006,lawyer,1/12/06,Misc,Edward Lazarus
1147,2006,author,1/16/06,Media,Eugene Jarecki
1148,2006,diplomat,1/17/06,Government,L. Paul Bremer
1149,2006,lawyer,1/18/06,Misc,R. James Woolsey
1150,2006,actor,1/19/06,Acting,Josh Lucas
1151,2006,commentator,1/23/06,Media,Fred Barnes
1152,2006,Professor,1/24/06,Academic,Reza Aslan
1153,2006,actor,1/25/06,Acting,Anthony Hopkins
1154,2006,intellectual,1/26/06,Academic,Bernard-Henri Lí©vy
1155,2006,singer,1/30/06,Musician,Randy Jackson
1156,2006,basketball player,1/31/06,Athletics,Charles Barkley
1157,2006,journalist,1/4/06,Media,George Packer
1158,2006,actor,1/5/06,Acting,Pierce Brosnan
1159,2006,journalist,1/9/06,Media,James Risen
1160,2006,stand-up comedian,10/10/06,Comedy,David Cross
1161,2006,television personality,10/11/06,Media,Lou Dobbs
1162,2006,journalist,10/12/06,Media,David Mark
1163,2006,essayist,10/16/06,Media,Frank Rich
1164,2006,actress,10/17/06,Acting,Amy Sedaris
1165,2006,former governor of missouri,10/18/06,Politician,John Ashcroft
1166,2006,actress,10/19/06,Acting,Kirsten Dunst
1167,2006,Former United States Senator,10/2/06,Politician,Trent Lott
1168,2006,stand-up comedian,10/3/06,Comedy,Dennis Miller
1169,2006,basketball player,10/30/06,Athletics,LeBron James
1170,2006,political scientist,10/31/06,Consultant,John Mueller
1171,2006,political scientist,10/4/06,Consultant,Ian Bremmer
1172,2006,writer,10/5/06,Media,David Rakoff
1173,2006,former white house chief of staff,10/9/06,Politician,James Baker
1174,2006,,11/1/06,,None
1175,2006,actress,11/13/06,Acting,Tina Fey
1176,2006,former american senator,11/14/06,Politician,John Edwards
1177,2006,Broadcaster,11/15/06,Media,Ted Koppel
1178,2006,Entrepreneur,11/16/06,Business,Muhammad Yunus
1179,2006,actor,11/2/06,Acting,Sacha Baron Cohen
1180,2006,Mayor of Chicago,11/27/06,Politician,Rahm Emanuel
1181,2006,Singer-songwriter,11/28/06,Musician,Tom Waits
1182,2006,actor,11/29/06,Acting,George Clooney
1183,2006,Rock duo,11/30/06,Musician,Tenacious D
1184,2006,comedian,11/6/06,Comedy,Jerry Seinfeld
1185,2006,journalist,11/7/06,Media,Dan Rather
1186,2006,former governor of vermont,11/8/06,Politician,Howard Dean
1187,2006,actor,11/9/06,Acting,Dustin Hoffman
1188,2006,former governor of rhode island,12/11/06,Politician,Lincoln Chafee
1189,2006,journalist,12/12/06,Media,Fareed Zakaria
1190,2006,Comedian,12/13/06,Comedy,Ricky Gervais
1191,2006,Journalist,12/14/06,Media,Rajiv Chandrasekaran
1192,2006,United States Secretary of Agriculture,12/18/06,Politician,Tom Vilsack
1193,2006,commentator,12/19/06,Media,Bill Kristol
1194,2006,actor,12/20/06,Acting,Ben Stiller
1195,2006,actor,12/4/06,Acting,Nathan Lane
1196,2006,former us senator,12/5/06,Politician,John Danforth
1197,2006,author,12/6/06,Media,Eve Herold
1198,2006,high-altitude mountaineer,12/7/06,Athletics,Ed Viesturs
1199,2006,Historian,2/1/06,Academic,Michael Beschloss
1200,2006,astronaut,2/13/06,Science,Astronaut Mike Mullane
1201,2006,Economist,2/14/06,Academic,Peter Tertzakian
1202,2006,actress,2/15/06,Acting,Julianne Moore
1203,2006,actor,2/16/06,Acting,Ed Harris
1204,2006,journalist,2/2/06,Media,"Robert O'Harrow, Jr."
1205,2006,Author,2/21/06,Media,Sarah Vowell
1206,2006,actor,2/22/06,Acting,Matthew Fox
1207,2006,Film critic,2/23/06,Media,Roger Ebert
1208,2006,communications consultant,2/7/06,Political Aide,Torie Clarke
1209,2006,actor,2/8/06,Acting,Harrison Ford
1210,2006,actor,2/9/06,Acting,Will Arnett
1211,2006,author,3/13/06,Media,Eric Burns
1212,2006,scholar,3/14/06,Academic,Bart Ehrman
1213,2006,actress,3/15/06,Acting,Natalie Portman
1214,2006,actor,3/16/06,Acting,Vin Diesel
1215,2006,actor,3/20/06,Acting,Clive Owen
1216,2006,author,3/21/06,Media,Georges Sada
1217,2006,us senator,3/22/06,Politician,Senator Russ Feingold
1218,2006,Professor,3/23/06,Academic,Michael Mandelbaum
1219,2006,journalist,3/27/06,Media,Michael Gordon
1220,2006,journalist,3/28/06,Media,Fareed Zakaria
1221,2006,Singer,3/29/06,Musician,Queen Latifah
1222,2006,actress,3/30/06,Acting,Sharon Stone
1223,2006,author,3/7/06,Media,Eugene Linden
1224,2006,Singer-songwriter,3/8/06,Musician,Neil Young
1225,2006,historian,3/9/06,Academic,Bruce Bartlett
1226,2006,editor,4/17/06,Media,Jon Meacham
1227,2006,journalist,4/18/06,Media,Ryan Nerz
1228,2006,actor,4/19/06,Acting,Dennis Quaid
1229,2006,Former United States Senator,4/20/06,Politician,Ted Kennedy
1230,2006,israeli official,4/24/06,Government,Efraim Halevy
1231,2006,actor,4/25/06,Acting,Tom Selleck
1232,2006,Author,4/26/06,Media,Kimberley Strassel
1233,2006,actor,4/27/06,Acting,Robin Williams
1234,2006,Comedian,4/3/06,Comedy,Ricky Gervais
1235,2006,Author,4/4/06,Media,Studs Terkel
1236,2006,military,4/5/06,Military,Tony Zinni
1237,2006,actor,4/6/06,Acting,Josh Hartnett
1238,2006,Journalist,5/1/06,Media,Matthew Continetti
1239,2006,comedian,5/10/06,Comedy,Billy Connolly
1240,2006,political scientist,5/11/06,Consultant,Francis Fukuyama
1241,2006,former governor of vermont,5/15/06,Politician,Howard Dean
1242,2006,actor,5/16/06,Acting,Denis Leary
1243,2006,Columnist,5/17/06,Media,Ramesh Ponnuru
1244,2006,Singer-songwriter,5/18/06,Musician,Willie Nelson
1245,2006,Former United States Secretary of State,5/2/06,Politician,Madeleine Albright
1246,2006,inspector general of homeland security department,5/3/06,Government,Clark Kent Ervin
1247,2006,actor,5/4/06,Acting,John Malkovich
1248,2006,journalist,5/8/06,Media,David Remnick
1249,2006,reporter,5/9/06,Media,Eric Shawn
1250,2006,journalist,6/12/06,Media,Thomas Friedman
1251,2006,American Political figure,6/13/06,Politician,Ken Mehlman
1252,2006,journalist,6/14/06,Media,Tim Russert
1253,2006,comedian,6/15/06,Comedy,Louis C.K.
1254,2006,journalist,6/19/06,Media,Calvin Trillin
1255,2006,journalist,6/20/06,Media,Juliet Eilperin
1256,2006,journalist,6/21/06,Media,Anderson Cooper
1257,2006,actor,6/22/06,Acting,Adam Sandler
1258,2006,Professional Road Racing Cyclist,6/26/06,Athletics,Lance Armstrong
1259,2006,author,6/27/06,Media,Helen Thomas
1260,2006,former vice president,6/28/06,Politician,Al Gore
1261,2006,actor,6/29/06,Acting,Kevin Spacey
1262,2006,author,6/5/06,Media,Caroline Kennedy
1263,2006,former us secretary of education,6/6/06,Politician,William John Bennett
1264,2006,actress,6/7/06,Acting,Bonnie Hunt
1265,2006,actress,6/8/06,Acting,Lily Tomlin
1266,2006,telvision actor,7/10/06,Acting,Ilario Pantano
1267,2006,former white house counsel,7/11/06,Political Aide,John Dean
1268,2006,actor,7/12/06,Acting,Shawn Wayans
1269,2006,actor,7/13/06,Acting,Owen Wilson
1270,2006,lawyer,7/17/06,Misc,Gordon G. Chang
1271,2006,Film director,7/18/06,Media,M. Night Shyamalan
1272,2006,author,7/19/06,Media,James Maguire
1273,2006,actor,7/20/06,Acting,Paul Giamatti
1274,2006,us senator,7/24/06,Politician,John McCain
1275,2006,actor,7/25/06,Acting,Edward Burns
1276,2006,Journalist,7/26/06,Media,Sharon Weinberger
1277,2006,political expert,7/27/06,Consultant,Alon Ben-Meir
1278,2006,actor,7/31/06,Acting,Will Ferrell
1279,2006,Academic,8/1/06,Academic,Vali Nasr
1280,2006,race car driver,8/10/06,Athletics,"Dale Earnhardt, Jr."
1281,2006,Journalist,8/14/06,Media,Thomas E. Ricks
1282,2006,actor,8/15/06,Acting,Samuel L. Jackson
1283,2006,Former Governor of New Jersey,8/16/06,Politician,Thomas Kean
1284,2006,actor,8/17/06,Acting,Matt Dillon
1285,2006,filmmaker,8/2/06,Media,Chris Paine
1286,2006,Professor,8/21/06,Academic,Reza Aslan
1287,2006,Former member of the United States Senate,8/22/06,Politician,William Cohen
1288,2006,author,8/23/06,Media,Frederick S. Lane
1289,2006,actor,8/24/06,Acting,Martin Short
1290,2006,actor,8/3/06,Acting,Danny DeVito
1291,2006,journalist,8/8/06,Media,Brian Williams
1292,2006,editor,8/9/06,Media,Craig Glenday
1293,2006,actress,9/11/06,Acting,Maggie Gyllenhaal
1294,2006,former us senator,9/12/06,Politician,Gary Hart
1295,2006,political figure,9/13/06,Politician,Ed Gillespie
1296,2006,Stand-up comedian,9/14/06,Comedy,Norm Macdonald
1297,2006,us president,9/18/06,Politician,Bill Clinton
1298,2006,actor,9/19/06,Acting,Ben Affleck
1299,2006,stunt perfomrer,9/20/06,Acting,Johnny Knoxville
1300,2006,documentarian,9/21/06,Media,CC Goldwater
1301,2006,Former Assistant to the President for Communications,9/25/06,Political Aide,Pat Buchanan
1302,2006,Former President of Pakistan,9/26/06,Politician,Pervez Musharraf
1303,2006,united states senator,9/27/06,Politician,Al Franken
1304,2006,former governor of new jersey,9/28/06,Politician,Jim McGreevey
1305,2007,actress,1/1/07,Acting,Meryl Streep
1306,2007,author,1/1/07,Media,Sam Sheridan
1307,2007,former governor of arkansas,1/10/07,Politician,Fmr. Gov. Mike Huckabee
1308,2007,Film actor,1/11/07,Acting,Peter O'Toole
1309,2007,author,1/15/07,Media,Josh Bernstein
1310,2007,Historian,1/16/07,Academic,Michael Oren
1311,2007,american football wide reciever,1/17/07,Athletics,Jerry Rice
1312,2007,actress,1/18/07,Acting,Robin Wright Penn
1313,2007,military,1/22/07,Military,Gen. Rupert Smith
1314,2007,Governor of Virginia,1/23/07,Politician,Terry McAuliffe
1315,2007,Former White House Press Secretary,1/24/07,Political Aide,Scott McClellan
1316,2007,us senator,1/25/07,Politician,Sen. Chuck Schumer
1317,2007,busines magnate,1/29/07,Business,Bill Gates
1318,2007,Astrophysicist,1/30/07,Science,Neil deGrasse Tyson
1319,2007,us senator,1/31/07,Politician,Sen. Joe Biden
1320,2007,comedian,1/8/07,Comedy,Louis C.K.
1321,2007,philosopher,1/9/07,Academic,Harry Frankfurt
1322,2007,commentator,10/1/07,Media,Jack Cafferty
1323,2007,Author,10/10/07,Media,Lynne Cheney
1324,2007,journalist,10/11/07,Media,Howard Kurtz
1325,2007,Former White House Press Secretary,10/15/07,Political Aide,Tony Snow
1326,2007,Comedian,10/16/07,Comedy,Stephen Colbert
1327,2007,actor,10/17/07,Acting,Jake Gyllenhaal
1328,2007,actor,10/18/07,Acting,Ben Affleck
1329,2007,commentator,10/2/07,Media,Chris Matthews
1330,2007,Columnist,10/29/07,Media,Michael Gerson
1331,2007,Broadcaster,10/3/07,Media,Ted Koppel
1332,2007,author,10/30/07,Media,Valerie Plame Wilson
1333,2007,baseball player,10/31/07,Athletics,David Wright
1334,2007,law professor,10/4/07,Academic,Jack Goldsmith
1335,2007,Former President of Mexico,10/8/07,Politician,Vicente Fox
1336,2007,American football running back,10/9/07,Athletics,Tiki Barber
1337,2007,comedian,11/1/07,Comedy,Jerry Seinfeld
1338,2007,actress,2/1/07,Acting,Sienna Miller
1339,2007,academic,2/12/07,Academic,Jeffrey Rosen
1340,2007,author,2/13/07,Media,Christopher Horner
1341,2007,author,2/14/07,Media,Ishmael Beah
1342,2007,journalist,2/15/07,Media,Meredith Vieira
1343,2007,entrepreneur,2/26/07,Business,Craig Newmark
1344,2007,basketball player,2/27/07,Athletics,John Amaechi
1345,2007,actor,2/28/07,Acting,Jake Gyllenhaal
1346,2007,Chef,2/5/07,Misc,Walter Scheib
1347,2007,television host,2/6/07,Media,Mike Rowe
1348,2007,activist,2/7/07,Advocacy,Ralph Nader
1349,2007,musician,2/8/07,Musician,John Mellencamp
1350,2007,minister,3/1/07,Clergy,Rev. Al Sharpton
1351,2007,us senator,3/12/07,Politician,Sen. Christopher Dodd
1352,2007,director,3/13/07,Media,John Waters
1353,2007,Former United States National Security Advisor,3/14/07,Government,Zbigniew Brzezinski
1354,2007,actress,3/15/07,Acting,Sandra Bullock
1355,2007,Professor,3/19/07,Academic,Stephen Prothero
1356,2007,lawyer,3/20/07,Misc,John Bolton
1357,2007,journalist,3/21/07,Media,Chris Hansen
1358,2007,actor,3/22/07,Acting,Don Cheadle
1359,2007,us senator,3/26/07,Politician,Sen. John Kerry
1360,2007,stand-up comedian,3/27/07,Comedy,Dennis Miller
1361,2007,former governor of new mexico,3/28/07,Politician,Gov. Bill Richardson
1362,2007,Psychologist,3/29/07,Academic,Philip Zimbardo
1363,2007,journalist,3/5/07,Media,Bob Woodruff
1364,2007,Surgeon,3/6/07,Science,Richard Jadick
1365,2007,Trumpeter,3/7/07,Musician,Wynton Marsalis
1366,2007,0,3/8/07,,John Bambenek
1367,2007,physician,3/8/07,Science,Dr. Sharon Moalem
1368,2007,Writer,4/10/07,Media,Walter Isaacson
1369,2007,actress,4/11/07,Acting,Halle Berry
1370,2007,Writer,4/12/07,Media,Richard Preston
1371,2007,former white house chief of staff,4/16/07,Politician,Andrew Card
1372,2007,television Actor,4/17/07,Acting,Sig Hansen
1373,2007,minister of defense,4/18/07,Politician,Ali Allawi
1374,2007,editor,4/19/07,Media,Jeremy Scahill
1375,2007,Reporter,4/23/07,Media,Matthew Cooper
1376,2007,us senator,4/24/07,Politician,Sen. John McCain
1377,2007,comedian,4/25/07,Comedy,Garry Shandling
1378,2007,actor,4/26/07,Acting,Richard Gere
1379,2007,author,4/30/07,Media,Christopher Hitchens
1380,2007,former american senator,4/9/07,Politician,Bill Bradley
1381,2007,actor,5/1/07,Acting,Tobey Maguire
1382,2007,Professor,5/10/07,Academic,Reza Aslan
1383,2007,broadcaster,5/14/07,Media,Jeremy Paxman
1384,2007,journalist,5/15/07,Media,Tim Russert
1385,2007,comedian,5/16/07,Comedy,Don Rickles
1386,2007,editor,5/17/07,Media,Brink Lindsey
1387,2007,Film-maker,5/2/07,Media,Pierre Rehov
1388,2007,Journalist,5/21/07,Media,Zaki Chehab
1389,2007,Former United States Secretary of Education,5/22/07,Politician,Margaret Spellings
1390,2007,military,5/23/07,Military,Lt. Col. Kevin Robbins
1391,2007,former vice president,5/24/07,Politician,Al Gore
1392,2007,Broadcaster,5/3/07,Media,Ted Koppel
1393,2007,writer,5/7/07,Media,Lee Gutkind
1394,2007,professor,5/8/07,Academic,George Tenet
1395,2007,Historian,5/9/07,Academic,Michael Beschloss
1396,2007,comedian,6/11/07,Comedy,David Steinberg
1397,2007,political consultant,6/12/07,Consultant,Robert Shrum
1398,2007,historian,6/13/07,Academic,Allan Brandt
1399,2007,actress,6/14/07,Acting,Angelina Jolie
1400,2007,actor,6/18/07,Acting,Steve Carell
1401,2007,journalist,6/19/07,Media,Brian Williams
1402,2007,journalist,6/20/07,Media,Fareed Zakaria
1403,2007,writer,6/21/07,Media,Greg Bear
1404,2007,journalist,6/25/07,Media,Steve Vogel
1405,2007,actor,6/26/07,Acting,Bruce Willis
1406,2007,Filmmaker,6/27/07,Media,Michael Moore
1407,2007,actress,6/28/07,Acting,Claire Danes
1408,2007,us representative,6/4/07,Politician,Rep. Ron Paul
1409,2007,actor,6/5/07,Acting,Paul Rudd
1410,2007,Pundit,6/6/07,Consultant,Michael Barone
1411,2007,stand-up comedian,6/7/07,Comedy,Eddie Izzard
1412,2007,broadcaster,7/16/07,Media,Josh Rushing
1413,2007,actor,7/17/07,Acting,Christopher Walken
1414,2007,Cartoonist,7/18/07,Media,Matt Groening
1415,2007,actor,7/19/07,Acting,Adam Sandler
1416,2007,Astrophysicist,7/23/07,Science,Neil deGrasse Tyson
1417,2007,professor,7/24/07,Academic,Robert Pallitto
1418,2007,Correspondent,7/25/07,Media,Rob Gifford
1419,2007,Historian,7/26/07,Academic,Robert Dallek
1420,2007,journalist,7/30/07,Media,Alastair Campbell
1421,2007,advocate,7/31/07,Advocacy,Lewis Gordon Pugh
1422,2007,author,8/1/07,Media,Jed Babbin
1423,2007,commentator,8/13/07,Media,Bill Kristol
1424,2007,actor,8/14/07,Acting,Denis Leary
1425,2007,Columnist,8/15/07,Media,Stephen F. Hayes
1426,2007,us senator,8/16/07,Politician,Sen. John McCain
1427,2007,actor,8/2/07,Acting,Matt Damon
1428,2007,Author,8/20/07,Media,Nikolas Kozloff
1429,2007,author,8/21/07,Media,Alan Weisman
1430,2007,us senator,8/22/07,Politician,Sen. Barack Obama
1431,2007,military,8/23/07,Military,Lt. Col. John Nagl
1432,2007,actor,8/7/07,Acting,Andy Samberg
1433,2007,us senator,8/8/07,Politician,Sen. Joe Biden
1434,2007,Writer,8/9/07,Media,Tal Ben-Shahar
1435,2007,comedian,9/10/07,Comedy,Jeff Garlin
1436,2007,actress,9/11/07,Acting,Jodie Foster
1437,2007,Freelance writer,9/12/07,Media,Robert Draper
1438,2007,journalist,9/13/07,Media,Douglas Farah
1439,2007,economist,9/18/07,Academic,Alan Greenspan
1440,2007,political figure,9/19/07,Politician,Gen. Wesley Clark
1441,2007,president,9/20/07,Politician,President Bill Clinton
1442,2007,author,9/24/07,Media,John Bowe
1443,2007,president,9/25/07,Politician,President Evo Morales
1444,2007,actor,9/26/07,Acting,Jamie Foxx
1445,2007,Filmmaker,9/27/07,Media,Ken Burns
1446,2008,Author,1/1/08,Media,Peggy Noonan
1447,2008,Consultant,1/1/08,Political Aide,Tim Gunn
1448,2008,television host,1/1/08,Media,Conan O'Brien
1449,2008,television personality,1/10/08,Media,Lou Dobbs
1450,2008,journalist,1/14/08,Media,Fareed Zakaria
1451,2008,lawyer,1/15/08,Misc,John Bolton
1452,2008,columnist,1/16/08,Media,Jonah Goldberg
1453,2008,consultant,1/17/08,Political Aide,Allen Raymond
1454,2008,editor,1/21/08,Media,Jon Meacham
1455,2008,writer,1/22/08,Media,Jim Wallis
1456,2008,Political satirist,1/23/08,Media,P. J. O'Rourke
1457,2008,journalist,1/24/08,Media,Gerri Willis
1458,2008,American football quarterback,1/28/08,Athletics,Phil Simms
1459,2008,biographer,1/29/08,Media,Doris Kearns Goodwin
1460,2008,Author,1/30/08,Media,Peggy Noonan
1461,2008,correspondent,1/31/08,Media,Karen Tumulty
1462,2008,television Actor,1/7/08,Acting,Ronald Seeber
1463,2008,commentator,1/8/08,Media,David Frum
1464,2008,author,1/9/08,Media,John Zogby
1465,2008,editor,10/1/08,Media,Gideon Rose
1466,2008,author,10/13/08,Media,Amity Shlaes
1467,2008,former white house press secretary,10/14/08,Political Aide,Ari Fleischer
1468,2008,Comedian,10/15/08,Comedy,Richard Lewis
1469,2008,Former United States Secretary of Labor,10/16/08,Politician,Robert Reich
1470,2008,actor,10/2/08,Acting,Clint Eastwood
1471,2008,author,10/20/08,Media,Eugene Jarecki
1472,2008,author of novels,10/21/08,Media,Christopher Buckley
1473,2008,Journalist,10/22/08,Media,Tom Brokaw
1474,2008,former us senator,10/23/08,Politician,Jon Corzine
1475,2008,reporter,10/27/08,Media,Campbell Brown
1476,2008,Comedian,10/28/08,Comedy,Steve Martin
1477,2008,us president,10/29/08,Politician,Barack Obama
1478,2008,commentator,10/30/08,Media,Bill Kristol
1479,2008,actor,10/6/08,Acting,Tim Robbins
1480,2008,Author,10/7/08,Media,Sarah Vowell
1481,2008,First Lady of the United States,10/8/08,Politician,Michelle Obama
1482,2008,actor,10/9/08,Acting,Robert De Niro
